code,market,name,shares,cost_price,current_price,added_date,industry,reason
002594,A,比亚迪,800,111.57,93.75,2025-08-01,新能源汽车,"国内新能源龙头，全产业链布局（含电池自主研发），研发投入高，未来发展空间大"
001280,A,中国铀业,200,95.12,75.95,2026-01-26,核电/核燃料,"考虑我国火箭回收技术发展可能引发燃料消耗增加，看好核燃料需求增长"
02015,HK,理想汽车-W,2400,69.03,61.80,2025-01-06,新能源汽车,"自家使用体验好，认可产品力；股价处于低位区间；L9 Lives新车上市预期带动估值回归"
601012,A,隆基绿能,3600,19.12,15.04,2025-09-05,光伏/太阳能,"看好新能源长期发展趋势及全球对电力需求的持续增长"
000568,A,泸州老窖,300,107.85,90.02,2026-01-30,白酒/食品饮料,"低价白酒板块，看好消费复苏的潜在机会"
601318,A,中国平安,400,65.29,53.68,2026-01-30,保险/金融,"开始研究保险行业，看好保险行业未来发展潜力"
600219,A,南山铝业,46500,6.71,5.50,2026-01-29,有色金属/铝加工,"初期因工业金属和贵金属板块高增长跟随买入；后了解公司属于高科技全产业链企业，护城河深，且为高派息公司，因此持续持有并补仓"

